model,run,recon_loss
base,1,169.5195
base,2,169.655
base,3,167.6355
base,4,168.2366
base,5,169.81
entropy_0_5,1,169.5129
entropy_0_5,2,170.6395
entropy_0_5,3,174.9413
entropy_0_5,4,191.0063
entropy_0_5,5,168.8567
entropy_1,1,168.2498
entropy_1,2,233.3411
entropy_1,3,234.3965
entropy_1,4,190.4332
entropy_1,5,190.5219
entropy_5,1,233.3733
entropy_5,2,231.2433
entropy_5,3,219.0157
entropy_5,4,225.637
entropy_5,5,223.1816
pearson_1,1,168.8716
pearson_1,2,168.4909
pearson_1,3,166.9136
pearson_1,4,169.4167
pearson_1,5,169.0853
pearson_5,1,167.7988
pearson_5,2,167.8663
pearson_5,3,169.2919
pearson_5,4,166.9111
pearson_5,5,168.6233
pearson_10,1,168.2091
pearson_10,2,167.2686
pearson_10,3,167.2773
pearson_10,4,168.5751
pearson_10,5,165.9091